Object,X,Y,H,RZ,IMG_NUM
peo0,2.10,19.20,1.75,-84.49,352
peo1,0.30,27.60,1.69,-43.75,352
peo2,1.80,28.20,1.70,-97.03,352
peo3,0.30,31.20,1.76,-110.77,352
peo4,0.60,24.00,1.76,-99.59,352
peo5,2.10,28.20,1.77,-116.53,352
peo6,0.90,12.00,1.83,-130.48,352
peo7,2.10,16.20,1.56,-151.60,352
peo8,0.30,13.20,1.63,-66.25,352
peo9,0.30,21.00,1.73,-146.22,352
peo10,1.20,17.40,1.62,-69.35,352
peo11,2.40,27.00,1.65,-128.55,352
peo12,2.40,21.00,1.60,-94.27,352
peo13,1.50,22.20,1.71,-90.03,352
peo14,0.30,18.60,1.75,-83.80,352
