Object,X,Y,H,RZ,IMG_NUM
peo0,0.60,13.80,1.75,-66.87,308
peo1,0.30,27.60,1.69,-107.19,308
peo2,1.80,18.60,1.70,-78.56,308
peo3,1.50,29.40,1.76,-38.29,308
peo4,0.30,19.80,1.76,-103.16,308
peo5,2.10,16.80,1.77,-86.47,308
peo6,0.30,23.40,1.83,-89.05,308
peo7,1.50,27.00,1.56,-128.08,308
peo8,2.10,25.80,1.63,-87.15,308
peo9,1.20,28.80,1.73,-170.32,308
peo10,1.80,23.40,1.62,-114.39,308
peo11,0.30,22.20,1.65,-120.89,308
peo12,0.60,15.60,1.60,-66.97,308
peo13,1.20,21.00,1.71,-114.59,308
peo14,0.60,25.20,1.75,-125.24,308
