Object,X,Y,H,RZ,IMG_NUM
peo0,0.30,25.80,1.75,-76.60,213
peo1,0.90,20.40,1.69,-99.18,213
peo2,1.50,21.60,1.70,-102.16,213
peo3,0.30,14.40,1.76,-112.58,213
peo4,2.40,16.20,1.76,-87.83,213
peo5,0.60,21.00,1.77,-71.06,213
peo6,0.30,23.40,1.83,-73.93,213
peo7,2.40,21.60,1.56,-136.14,213
peo8,1.80,31.80,1.63,-149.39,213
peo9,0.60,24.00,1.73,-75.87,213
peo10,2.40,25.20,1.62,-77.21,213
peo11,1.80,15.60,1.65,-76.80,213
peo12,1.20,25.20,1.60,-82.35,213
peo13,1.50,16.20,1.71,-75.32,213
peo14,0.90,16.80,1.75,-73.85,213
