Object,X,Y,H,RZ,IMG_NUM
peo0,0.90,31.80,1.75,-42.89,34
peo1,0.60,15.00,1.69,-49.81,34
peo2,1.80,28.20,1.70,-75.07,34
peo3,1.20,24.00,1.76,-72.97,34
peo4,1.80,12.60,1.76,-95.50,34
peo5,0.90,19.80,1.77,-151.90,34
peo6,1.50,30.60,1.83,-119.92,34
peo7,1.80,27.60,1.56,-72.60,34
peo8,0.60,25.80,1.63,-108.92,34
peo9,1.20,13.80,1.73,-136.69,34
peo10,2.40,19.20,1.62,-143.84,34
peo11,0.30,24.60,1.65,-114.90,34
peo12,1.50,16.80,1.60,-62.06,34
peo13,2.10,23.40,1.71,-67.57,34
peo14,0.60,17.40,1.75,-65.95,34
