Object,X,Y,H,RZ,IMG_NUM
peo0,2.40,14.40,1.75,-99.01,391
peo1,0.30,27.60,1.69,-76.06,391
peo2,1.20,16.20,1.70,-73.12,391
peo3,1.80,22.20,1.76,-93.08,391
peo4,2.10,14.40,1.76,-116.59,391
peo5,1.20,21.00,1.77,-83.58,391
peo6,0.60,25.80,1.83,-76.86,391
peo7,1.20,13.80,1.56,-126.66,391
peo8,0.30,15.00,1.63,-108.63,391
peo9,2.40,30.60,1.73,-77.96,391
peo10,0.30,22.80,1.62,-115.06,391
peo11,0.60,15.60,1.65,-59.60,391
peo12,0.30,20.40,1.60,-65.88,391
peo13,1.80,28.80,1.71,-75.41,391
peo14,0.90,30.60,1.75,-92.56,391
