Object,X,Y,H,RZ,IMG_NUM
peo0,0.30,27.60,1.75,-141.16,446
peo1,1.20,14.40,1.69,-112.72,446
peo2,2.10,21.00,1.70,-101.52,446
peo3,2.10,15.00,1.76,-98.10,446
peo4,1.50,17.40,1.76,-87.13,446
peo5,0.30,29.40,1.77,-145.59,446
peo6,1.80,14.40,1.83,-40.31,446
peo7,2.10,30.00,1.56,-41.23,446
peo8,0.30,14.40,1.63,-60.20,446
peo9,0.90,28.80,1.73,-94.75,446
peo10,2.40,19.20,1.62,-36.89,446
peo11,2.40,21.00,1.65,-100.23,446
peo12,0.30,16.80,1.60,-43.66,446
peo13,0.90,26.40,1.71,-125.77,446
peo14,1.80,13.20,1.75,-41.50,446
