Object,X,Y,H,RZ,IMG_NUM
peo0,0.30,30.00,1.75,-76.61,78
peo1,0.90,25.80,1.69,-92.89,78
peo2,1.20,18.60,1.70,-158.30,78
peo3,1.20,22.20,1.76,-82.12,78
peo4,0.60,30.00,1.76,-48.12,78
peo5,1.80,24.00,1.77,-110.07,78
peo6,1.20,23.40,1.83,-77.80,78
peo7,2.40,28.80,1.56,-70.81,78
peo8,1.80,13.20,1.63,-105.33,78
peo9,0.90,19.20,1.73,-47.82,78
peo10,1.50,26.40,1.62,-87.09,78
peo11,0.30,16.80,1.65,-77.02,78
peo12,2.10,13.80,1.60,-104.47,78
peo13,1.50,16.20,1.71,-81.29,78
peo14,0.90,30.00,1.75,-97.18,78
