Object,X,Y,H,RZ,IMG_NUM
peo0,0.30,18.00,1.75,-44.00,473
peo1,2.40,24.00,1.69,-102.00,473
peo2,1.50,13.80,1.70,-115.32,473
peo3,1.20,16.20,1.76,-86.16,473
peo4,1.50,25.20,1.76,-52.40,473
peo5,1.50,28.80,1.77,-82.62,473
peo6,1.80,22.20,1.83,-123.47,473
peo7,0.30,15.60,1.56,-106.08,473
peo8,1.20,19.80,1.63,-120.12,473
peo9,1.80,21.60,1.73,-64.66,473
peo10,0.90,19.20,1.62,-117.09,473
peo11,2.40,13.20,1.65,-97.21,473
peo12,0.90,27.00,1.60,-36.94,473
peo13,1.20,21.00,1.71,-75.48,473
peo14,1.80,19.20,1.75,-112.68,473
