Object,X,Y,H,RZ,IMG_NUM
peo0,2.10,19.20,1.75,-92.34,117
peo1,1.50,23.40,1.69,-128.88,117
peo2,0.60,26.40,1.70,-79.20,117
peo3,0.60,16.80,1.76,-73.41,117
peo4,0.90,29.40,1.76,-152.67,117
peo5,2.10,28.20,1.77,-110.00,117
peo6,0.90,17.40,1.83,-97.44,117
peo7,1.80,31.20,1.56,-67.04,117
peo8,0.30,13.20,1.63,-102.41,117
peo9,0.30,21.00,1.73,-99.79,117
peo10,1.80,15.60,1.62,-68.05,117
peo11,1.20,13.80,1.65,-104.30,117
peo12,1.80,23.40,1.60,-93.16,117
peo13,2.10,23.40,1.71,-41.53,117
peo14,0.60,13.80,1.75,-103.22,117
